speaker_year_id,change,shift,reform,revolut,transform,overhaul,reset,pivot,reimagin,redo,rebuild,modify,restructur,innovat,progress,advanc,future,new,next,vision,potential,fresh,modern,alternativ,evolving,evolution,emerging,adapt,broken,outdated,fail,old,established,establishment,gridlock,swamp,corrupt,elit,stagnat,obsolete,rigid,stuck,backward,challenge,break,disrupt,reject,undo,replac,repeal,dismantl,rework,revamp,uproot,renovat,total_changegrams,text_length,percent_changegrams
CHAFEE_2016,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,9318,0.030049367
HICKENLOOPER_2020,8,0,2,1,1,0,0,0,0,0,0,0,0,0,8,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,13127,0.025900815
RYAN_2020,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,16,2,2,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,44,17786,0.024738558
GABBARD_2020,21,0,4,1,0,1,0,0,0,1,1,0,0,0,1,0,2,12,1,1,0,0,1,0,0,1,0,0,1,0,7,16,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,80,34575,0.023138106
GILLIBRAND_2020,4,0,2,0,2,0,0,0,0,0,1,0,0,1,2,0,1,3,2,0,0,1,0,0,0,0,0,0,5,0,0,6,0,0,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,46,20164,0.022812934
PATAKI_2016,18,0,2,0,0,0,1,0,0,0,1,0,0,5,1,0,2,31,9,3,0,0,0,0,0,0,0,0,2,0,2,8,0,0,0,0,5,0,0,0,0,0,0,1,6,0,2,0,3,1,0,0,0,0,0,103,45459,0.02265778
INSLEE_2020,5,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,5,1,6,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,14868,0.022195319
GORE_2000,55,3,51,15,0,0,0,0,0,0,1,0,0,0,11,7,46,214,45,32,7,2,9,7,2,16,1,0,2,1,24,75,3,2,0,0,5,1,0,0,0,0,0,20,19,0,5,1,10,3,2,0,0,0,0,697,320962,0.021715966
SWALWELL_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,5602,0.021420921
CASTRO_2020,4,1,10,0,0,0,0,0,0,0,1,0,0,0,1,0,5,12,2,4,0,1,0,0,0,0,0,0,4,0,3,17,0,0,0,0,1,0,0,0,0,1,1,5,1,0,0,4,0,5,0,0,0,0,0,83,40315,0.020587871
FIORINA_2016,7,0,15,0,0,0,1,1,0,0,6,0,0,9,3,0,7,11,2,1,10,0,0,1,0,0,0,0,3,0,4,29,0,3,0,0,9,1,3,0,0,0,0,9,0,0,1,3,5,3,0,0,0,0,0,147,74631,0.019696909
YANG_2020,18,0,0,5,4,0,0,0,0,0,2,0,0,1,3,0,3,23,4,7,2,0,0,0,0,5,0,1,2,0,6,14,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,3,0,0,0,0,0,112,57508,0.019475551
LIEBERMAN_2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,1,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,32,17032,0.018788163
BUTTIGIEG_2020,41,0,21,3,7,1,0,0,0,0,0,0,0,0,6,0,19,30,17,18,2,0,0,8,0,3,2,1,6,0,2,40,0,3,0,0,3,0,0,0,0,0,0,20,6,0,4,5,4,1,1,0,0,0,0,274,146890,0.018653414
BRADLEY_2000,55,0,52,3,0,0,0,0,0,1,0,0,0,6,6,4,19,75,29,18,2,1,0,0,0,3,1,0,2,0,6,38,0,0,0,0,2,0,0,0,0,1,0,14,14,1,2,0,8,0,0,0,0,0,0,363,204117,0.017783918
MCCAIN_2008,77,1,35,13,0,0,0,0,0,0,0,2,0,8,1,0,17,86,15,12,0,1,0,4,0,14,0,0,11,0,56,56,3,2,0,0,15,0,0,0,0,2,0,43,6,0,2,0,0,1,0,0,0,0,0,483,273847,0.017637586
KUCINICH_2004,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,21,12051,0.01742594
MCCAIN_2000,9,1,76,3,0,0,0,0,0,0,0,0,2,0,2,1,13,27,21,18,3,0,3,0,0,3,0,0,3,0,6,35,1,2,4,2,6,0,0,0,0,0,0,7,15,0,4,0,0,1,1,0,0,0,0,269,155476,0.017301706
GINGRICH_2012,39,4,39,1,8,5,0,0,0,0,2,0,0,2,0,3,16,92,18,5,0,4,22,7,0,1,1,0,4,0,17,33,1,5,0,0,4,8,2,0,0,0,0,8,20,2,0,0,13,28,0,0,0,1,0,415,246106,0.016862653
RICHARDSON_2008,23,3,5,9,0,0,0,0,0,0,4,0,1,2,6,0,8,60,6,12,6,1,0,0,0,9,0,0,2,0,7,11,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,1,0,0,0,0,0,0,187,111348,0.016794195
CHRISTIE_2016,19,0,17,0,0,0,0,0,0,1,9,0,0,0,0,0,2,68,14,1,0,0,1,0,0,0,0,0,1,0,7,20,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,166,99551,0.01667487
SANDERS_2016,66,0,27,25,18,0,0,0,0,2,25,0,0,0,19,2,11,61,10,19,2,0,12,0,0,25,0,0,15,0,8,60,0,26,0,0,26,0,0,0,0,0,0,0,37,0,0,7,0,0,4,0,0,0,0,507,304203,0.016666502
GIULIANI_2008,48,0,6,2,0,0,0,0,0,5,4,0,0,0,0,2,10,138,11,4,0,0,5,4,1,2,1,0,1,0,3,20,0,0,0,0,0,0,0,0,0,1,0,5,3,3,0,0,5,1,0,0,0,0,0,285,174028,0.016376675
SANDERS_2020,58,0,7,7,15,0,0,0,0,0,8,0,0,0,10,0,16,38,7,19,0,0,8,1,0,7,0,0,4,0,2,22,1,0,0,0,30,4,0,0,0,1,0,0,18,0,1,10,0,0,0,0,0,0,0,294,179769,0.016354321
GILMORE_2016,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,14264,0.016124509
WARREN_2020,43,1,1,1,2,0,0,0,0,0,2,0,3,3,7,1,19,23,11,5,0,0,0,0,3,1,0,0,11,0,2,43,0,0,0,1,34,0,0,0,0,1,0,2,10,0,0,0,0,3,0,2,0,0,0,235,148980,0.015773929
BACHMANN_2012,16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,10,2,7,0,6,1,0,0,0,0,5,0,17,28,0,1,0,0,0,0,0,0,0,1,0,3,4,0,1,1,1,38,0,0,0,0,0,190,120492,0.015768682
BOOKER_2020,15,2,10,1,3,0,0,0,0,0,0,0,0,0,3,1,0,22,2,5,0,0,0,0,0,1,0,0,5,0,1,17,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,103,65453,0.015736483
RUBIO_2016,60,0,19,1,2,0,0,0,0,1,13,0,0,2,4,0,31,52,30,10,4,0,8,2,0,1,0,0,0,4,4,35,0,2,0,1,0,0,0,0,0,0,0,4,4,3,2,4,20,12,0,0,0,0,0,335,215679,0.015532342
CLINTON_2008,117,1,41,9,3,0,0,0,0,3,10,0,0,4,21,0,35,123,27,10,6,0,5,6,2,10,0,0,4,0,32,46,1,0,0,0,1,1,0,0,0,0,2,28,9,0,8,7,0,0,0,0,0,0,0,572,368313,0.015530269
JOHNSON_2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,3236,0.015451174
OBAMA_2012,13,1,23,2,0,0,0,1,0,0,8,0,0,2,9,5,24,21,14,2,6,0,0,2,0,2,0,0,1,0,0,16,1,0,0,0,2,0,0,0,0,1,0,5,12,0,0,2,8,10,0,0,0,0,0,193,125102,0.015427411
BIDEN_2008,51,5,2,2,0,1,0,0,0,0,2,0,0,1,3,0,0,25,17,1,1,0,2,9,0,2,0,0,0,0,4,35,2,0,0,0,0,0,0,0,0,1,0,1,17,0,7,3,5,0,0,0,0,0,0,199,129220,0.015400093
ROMNEY_2008,78,0,6,2,0,0,0,0,0,1,2,0,0,6,6,0,24,84,10,8,9,0,6,1,0,2,1,0,11,0,12,46,2,1,0,0,0,0,0,0,0,0,1,23,4,0,7,2,6,0,0,0,0,0,0,361,238266,0.015151134
BUSH_2016,10,4,21,3,1,0,2,0,0,0,10,0,0,2,1,1,3,14,23,0,0,1,1,2,0,4,0,0,8,0,7,16,1,2,1,0,0,0,0,0,0,3,0,10,2,1,0,0,2,7,0,0,1,0,0,164,110038,0.014903942
HUNTSMAN_2012,9,0,30,0,2,0,0,0,0,0,2,0,0,4,0,0,6,14,5,5,0,0,0,0,3,1,1,0,6,0,15,11,0,0,0,0,2,0,0,0,0,0,0,4,7,2,0,0,0,5,3,0,0,1,0,138,94483,0.014605802
OBAMA_2008,149,9,46,1,7,0,0,0,0,0,11,2,0,2,21,3,32,83,77,39,47,0,0,14,0,1,0,1,10,0,31,76,2,0,3,0,0,2,0,0,0,0,5,25,38,0,12,15,3,0,2,0,0,0,0,769,526579,0.014603697
WALKER_2016,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,26,18143,0.014330596
GRAVEL_2008,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1,0,1,0,0,0,0,0,0,1,0,9,11,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,55,38403,0.014321798
KUCINICH_2008,13,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,41,6,2,0,0,1,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,3,0,12,3,0,9,1,0,0,0,0,0,0,0,115,80543,0.014278087
CAIN_2012,2,1,4,1,0,0,1,2,0,0,1,1,7,0,0,0,1,9,1,1,1,0,0,1,0,1,0,0,5,1,8,32,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,14,5,0,0,0,0,0,108,76406,0.014135016
BENNET_2020,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,26,18521,0.014038119
CLINTON_2016,64,0,48,4,0,0,0,0,0,2,11,0,4,1,50,11,36,128,25,13,22,0,6,3,1,4,0,0,3,0,18,75,1,2,1,0,0,1,0,0,0,1,3,22,25,4,3,13,0,15,1,0,0,0,0,621,445485,0.013939863
THOMPSON_2008,18,0,15,3,3,0,0,0,0,1,1,0,0,1,4,1,24,14,15,3,1,0,1,4,0,3,0,0,0,0,1,8,0,0,0,0,2,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,128,91832,0.013938496
CLARK_2004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,14520,0.013774105
GRAHAM_2016,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,8,6,2,0,0,2,0,0,0,0,0,3,0,3,11,0,0,0,0,0,3,0,0,0,1,0,0,2,0,2,0,5,3,0,0,0,0,0,73,53872,0.013550639
HARRIS_2020,10,0,11,0,0,0,0,0,0,0,2,0,0,3,1,0,6,17,8,6,2,0,0,0,0,0,0,0,2,1,16,33,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,127,95368,0.013316836
EDWARDS_2008,78,0,11,7,3,0,0,0,0,0,5,0,0,4,9,0,10,38,12,10,0,0,1,2,0,7,0,0,6,0,1,32,1,0,0,0,10,0,0,0,0,0,0,6,12,0,1,5,1,0,0,0,0,0,0,272,204426,0.013305548
CRUZ_2016,27,0,19,1,1,0,0,0,0,0,11,0,0,0,0,1,3,45,11,11,4,1,1,0,0,1,0,0,2,0,9,41,0,6,0,0,13,0,2,0,0,1,1,3,7,0,0,2,6,12,0,0,0,0,0,242,182779,0.013240033
WEBB_2016,3,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,15336,0.01304121
SANTORUM_2012,25,1,32,4,6,0,0,0,0,0,1,0,0,6,1,1,5,71,10,21,4,1,0,0,0,4,0,0,4,0,8,49,1,0,0,0,7,0,0,0,0,3,0,2,11,0,1,1,5,30,0,0,0,0,0,315,242733,0.012977222
JINDAL_2016,15,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15,4,1,1,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,1,1,4,0,2,0,1,5,0,0,0,0,0,69,53354,0.012932489
PAWLENTY_2012,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,30,23233,0.012912667
KLOBUCHAR_2020,30,1,14,0,0,0,0,0,0,0,0,0,0,0,6,1,5,42,13,4,0,1,0,1,0,0,0,0,3,0,2,41,0,1,4,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,176,137014,0.012845403
BUSH_2000,23,1,54,0,0,1,0,0,0,0,12,0,0,2,3,3,16,51,18,16,1,7,4,1,0,1,0,0,1,0,8,60,0,0,1,0,2,0,0,2,0,1,0,3,5,0,7,0,2,0,1,0,0,1,0,308,241313,0.012763506
WILLIAMSON_2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15741,0.012705673
LIEBERMAN_2000,3,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,19,3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,34662,0.012694017
RYAN_2012,9,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,1,5,5,1,0,1,0,0,0,2,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50,40870,0.012233912
KERRY_2004,19,1,9,0,1,0,0,0,0,0,2,0,0,0,1,0,7,36,5,15,1,4,3,0,0,0,0,0,2,0,4,34,0,0,0,0,0,0,0,0,1,0,7,4,5,0,0,5,0,0,0,0,0,0,0,166,138392,0.011994913
PAUL_2016,15,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,1,0,0,2,0,2,14,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,63,55130,0.011427535
ROMNEY_2012,62,2,23,3,3,0,0,0,0,0,4,0,8,7,8,1,57,101,29,19,10,0,10,3,0,3,0,1,4,0,51,53,1,0,1,0,1,0,0,0,0,0,0,14,19,1,6,1,19,24,1,0,0,0,0,550,489157,0.011243834
BIDEN_2020,83,0,1,4,0,0,0,0,0,0,6,0,0,0,10,0,10,67,18,9,3,0,3,0,0,4,0,0,0,0,5,64,1,0,0,0,7,0,0,0,0,0,1,0,11,1,0,7,3,0,0,0,0,0,0,318,287189,0.011072847
BIDEN_2012,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,41,37185,0.011025951
HUNTER_2008,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,11,4,0,0,0,3,1,0,1,0,0,0,1,18,1,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,73,66663,0.010950602
KASICH_2016,18,3,26,1,0,1,0,0,0,0,11,0,1,6,2,1,7,26,6,6,3,0,1,1,1,1,0,0,0,0,3,26,0,3,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,2,1,0,0,0,0,165,153856,0.010724314
KEYES_2008,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,18132,0.010478712
SANTORUM_2016,12,0,13,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,4,11,2,2,0,0,0,0,0,0,1,0,4,13,5,1,0,0,1,0,0,0,0,3,0,1,4,0,0,0,1,4,0,0,0,0,0,92,89519,0.010277148
PERRY_2012,8,0,8,0,2,3,0,0,0,1,0,0,0,7,3,0,4,29,9,2,0,0,0,2,0,0,1,0,1,0,14,13,1,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,120,118825,0.010098885
DODD_2008,13,0,8,0,1,0,0,0,0,0,1,0,0,0,1,3,6,20,4,7,0,0,0,8,0,0,0,0,0,0,14,23,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,5,0,0,0,0,0,0,0,122,122451,0.009963169
DELANEY_2020,2,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,18500,0.009189189
HUCKABEE_2016,7,3,2,0,5,0,0,0,0,0,1,0,0,0,0,1,0,12,7,0,2,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,70,77791,0.00899847
KEYES_2000,12,1,10,0,0,0,0,0,0,0,0,0,1,0,1,0,16,22,3,8,3,0,0,5,0,0,0,0,2,0,6,32,7,0,0,0,8,0,0,0,0,0,0,7,3,1,1,0,3,0,0,0,2,0,0,154,173176,0.008892687
EDWARDS_2004,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,10,0,1,0,2,1,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,58,66351,0.00874139
HARRIS_2012,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9458,0.008458448
BROWNBACK_2008,3,0,0,0,0,0,0,1,0,0,8,0,0,0,3,1,6,5,2,2,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,43,51303,0.008381576
TRUMP_2016,38,0,0,0,0,0,0,1,0,1,9,0,1,0,0,0,1,84,9,20,4,0,2,2,1,0,0,0,6,0,9,46,0,1,2,0,5,0,0,2,0,0,0,1,13,0,0,5,9,12,0,0,0,0,0,284,342618,0.008289115
DEAN_2004,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,15748,0.008255017
HUCKABEE_2008,23,1,1,2,1,3,0,1,0,0,1,0,0,2,0,1,11,9,9,8,2,0,0,7,0,2,0,0,3,0,3,25,1,0,1,0,2,1,0,0,0,2,0,6,5,0,0,0,1,0,0,0,1,0,0,135,166352,0.008115322
PAUL_2008,34,1,1,5,0,0,0,0,0,0,2,0,0,0,2,0,0,9,1,0,0,0,1,1,0,5,0,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1,0,2,0,0,0,0,0,90,111016,0.00810694
TRUMP_2020,4,0,6,1,0,0,0,0,0,0,5,0,0,0,0,1,0,29,0,1,0,0,2,0,0,1,0,0,1,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,80601,0.008064416
PAUL_2012,32,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,1,21,3,1,0,0,0,2,0,4,0,1,0,0,8,36,0,0,0,0,2,1,0,0,0,5,0,8,3,1,3,0,2,14,0,0,1,0,0,157,207535,0.007564989
PERRY_2016,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7497,0.006669334
GILMORE_2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,20300,0.006403941
CARSON_2016,5,3,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,9,9,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,53,83036,0.006382774
TANCREDO_2008,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,5,2,2,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,40,62805,0.00636892
SHARPTON_2004,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,14394,0.006252605
EDWARDS_2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1907,0.005243838
BUSH_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0
CLARK_2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0
JOHNSON_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0